YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1946,4.27,6.67,7.47,16.27,19.17,25.37,26.67,27.27,23.47,17.87,13.17,4.17,5.83,14.30,26.44,18.17,16.18
1947,3.67,3.87,9.67,15.97,19.57,23.27,27.67,27.57,22.57,14.87,10.77,3.97,3.90,15.07,26.17,16.07,15.30
1948,3.47,4.67,8.07,16.87,19.97,24.97,27.67,28.57,22.57,16.07,999.90,999.90,4.04,14.97,27.07,16.26,15.58
1949,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1950,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1951,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1952,3.58,1.54,6.17,15.07,19.11,25.09,26.70,25.61,22.62,15.54,11.25,2.52,2.92,13.45,25.80,16.47,14.66
1953,1.93,3.48,8.91,14.19,21.76,25.21,29.20,29.06,22.01,18.22,9.71,4.56,2.64,14.95,27.82,16.65,15.52
1954,2.01,4.14,7.83,14.87,19.58,23.03,25.03,27.85,23.39,16.17,12.55,0.67,3.57,14.09,25.30,17.37,15.08
1955,-3.59,6.27,7.68,14.80,20.75,23.93,27.09,27.00,24.14,16.00,9.32,6.75,1.12,14.41,26.01,16.49,14.51
1956,0.62,4.23,7.26,15.45,18.05,25.07,28.51,25.79,22.39,16.33,8.51,2.80,3.87,13.59,26.46,15.74,14.91
1957,1.61,-0.28,7.56,14.58,19.00,23.71,27.54,26.70,20.85,16.23,11.50,5.35,1.38,13.71,25.98,16.19,14.32
1958,1.14,4.37,9.41,15.77,18.76,25.97,29.73,25.79,21.74,14.08,9.95,6.01,3.62,14.65,27.16,15.26,15.17
1959,1.26,3.88,10.80,14.82,18.95,24.34,28.98,29.88,22.46,17.44,9.05,4.18,3.72,14.86,27.73,16.32,15.66
1960,2.56,6.64,10.23,14.31,18.97,25.00,28.10,26.61,23.26,16.05,10.11,2.94,4.46,14.50,26.57,16.47,15.50
1961,2.35,5.56,9.54,16.56,20.88,26.07,29.53,28.31,22.10,17.02,11.64,4.90,3.62,15.66,27.97,16.92,16.04
1962,1.41,6.02,8.98,13.38,20.07,24.43,28.06,26.54,21.90,16.08,9.18,5.37,4.11,14.14,26.34,15.72,15.08
1963,1.16,4.04,9.61,14.04,19.85,23.57,26.91,27.07,22.77,16.07,11.50,4.63,3.52,14.50,25.85,16.78,15.16
1964,2.43,-1.61,9.09,16.78,19.30,23.79,28.97,28.04,23.94,16.60,10.20,4.95,1.82,15.06,26.93,16.91,15.18
1965,3.82,4.97,8.00,12.72,20.88,23.16,28.20,25.64,21.73,17.01,11.14,3.40,4.58,13.87,25.67,16.63,15.19
1966,3.30,6.02,9.61,14.53,19.73,24.03,27.98,29.23,21.60,17.40,10.48,1.69,4.24,14.62,27.08,16.49,15.61
1967,0.98,3.53,8.58,14.16,20.80,25.92,28.03,30.81,22.79,16.34,8.44,0.16,2.07,14.51,28.25,15.86,15.17
1968,1.66,1.81,9.96,15.00,19.81,25.06,26.32,26.95,22.53,14.73,11.90,6.53,1.21,14.92,26.11,16.39,14.66
1969,-0.10,-1.29,7.45,14.88,21.17,23.15,25.81,27.70,23.08,16.92,8.38,3.80,1.71,14.50,25.55,16.13,14.47
